Time,RA_corrected(mas),Dec_corrected(mas),RadialVelocity
1141602.307621,-2.482026,11.479951,-414933.266769
1149641.760491,-2.256898,11.983058,-402178.944520
1157681.213362,-2.452425,14.967556,-388059.550695
1165720.666232,-2.228708,14.786625,-372623.333100
1173760.119103,-2.142769,16.960968,-355923.039302
1181799.571974,-1.957810,16.199014,-338015.736379
1189839.024844,-1.915390,17.033668,-318962.615918
1197878.477715,-1.729734,20.557482,-298828.784913
1205917.930585,-1.586817,20.656265,-277683.043285
1213957.383456,-1.647871,21.373287,-255597.648788
1221996.836326,-1.430689,20.190869,-232648.070091
1230036.289197,-1.163709,22.927501,-208912.728893
1238075.742068,-1.046652,20.769533,-184472.731945
1246115.194938,-0.848901,20.519792,-159411.593901
1254154.647809,-0.805519,20.556760,-133814.951933
1262194.100679,-0.525942,21.585010,-107770.273099
1270233.553550,-0.553871,21.854236,-81366.555458
1278273.006420,-0.282304,21.732371,-54694.023954
1286312.459291,-0.000740,23.682232,-27843.822098
1294351.912162,0.084506,23.991582,-907.700528
1302391.365032,0.257688,23.047608,26022.296522
1310430.817903,0.270606,22.634148,52854.145744
1318470.270773,0.604673,23.387654,79496.159215
1326509.723644,0.681487,23.690617,105857.297706
1334549.176514,0.952358,21.742635,131847.481774
1342588.629385,1.060169,23.690766,157377.899574
1350628.082256,1.295380,23.571268,182361.310345
1358667.535126,1.442196,20.313338,206712.342519
1366706.987997,1.676549,17.465155,230347.785447
1374746.440867,1.723992,18.577865,253186.873744
1382785.893738,1.771726,17.420897,275151.563269
1390825.346608,1.941975,16.242378,296166.797818
1398864.799479,1.931862,15.516769,316160.765599
1406904.252349,2.180554,13.239345,335065.144619
1414943.705220,2.286666,15.498312,352815.336154
1422983.158091,2.469856,14.695929,369350.685487
1431022.610961,2.461427,10.850431,384614.689177
1439062.063832,2.511062,10.864578,398555.188136
1447101.516702,2.661202,8.273889,411124.545861
1455140.969573,2.659709,7.581834,422279.811223
1463180.422443,2.669498,4.370282,431982.865225
1471219.875314,2.676549,5.749096,440200.551270
1479259.328185,2.883790,3.262887,446904.788453
1487298.781055,2.868331,3.148683,452072.667523
1495338.233926,2.954765,0.513974,455686.529164
1503377.686796,2.924416,1.276115,457734.024340
1511417.139667,2.894857,-1.622628,458208.156495
1519456.592537,2.841141,-3.007761,457107.305456
1527496.045408,2.857431,-1.542705,454435.232974
1535535.498279,2.730458,-5.617091,450201.069870
1543574.951149,2.792215,-5.756103,444419.284830
1551614.404020,2.778607,-8.522330,437109.634967
1559653.856890,2.748388,-7.141801,428297.098306
1567693.309761,2.474037,-10.160471,418011.788432
1575732.762631,2.435540,-16.888251,406288.851589
1583772.215502,2.421392,-12.334133,393168.346579
1591811.668373,2.438939,-12.027310,378695.107875
1599851.121243,2.289093,-16.915493,362918.592420
1607890.574114,2.140323,-13.958239,345892.710621
1615930.026984,2.029587,-16.400086,327675.642134
1623969.479855,1.890689,-18.263623,308329.637053
1632008.932725,1.686958,-19.815420,287920.803198
1640048.385596,1.595468,-19.757805,266518.880212
1648087.838467,1.481767,-19.969715,244197.001253
1656127.291337,1.434298,-20.912300,221031.443087
1664166.744208,1.231943,-20.991570,197101.365444
1672206.197078,0.987813,-20.767856,172488.540517
1680245.649949,0.947597,-24.402671,147277.073531
1688285.102819,0.792216,-23.758843,121553.115355
1696324.555690,0.512286,-24.363927,95404.568102
1704364.008561,0.357314,-24.239932,68920.784764
1712403.461431,0.250851,-22.698204,42192.263878
1720442.914302,0.052951,-24.192130,15310.340279
1728482.367172,-0.177837,-22.358892,-11633.126997
1736521.820043,-0.324021,-23.264660,-38546.068615
1744561.272913,-0.506687,-24.156255,-65336.519549
1752600.725784,-0.750506,-21.331780,-91912.933338
1760640.178655,-0.747953,-22.716403,-118184.494917
1768679.631525,-1.021761,-21.717521,-144061.430936
1776719.084396,-1.028751,-21.569453,-169455.316538
1784758.537266,-1.272885,-21.835234,-194279.377506
1792797.990137,-1.491768,-20.676407,-218448.786793
1800837.443007,-1.757955,-19.627016,-241880.954378
1808876.895878,-1.701171,-19.835398,-264495.809495
1816916.348748,-1.791824,-19.249787,-286216.074238
1824955.801619,-1.855252,-18.146457,-306967.527634
1832995.254490,-2.152699,-15.442401,-326679.259263
1841034.707360,-2.321583,-14.264894,-345283.911573
1849074.160231,-2.405917,-14.063764,-362717.910043
1857113.613101,-2.473866,-15.244994,-378921.680431
1865153.065972,-2.587429,-12.237847,-393839.852342
1873192.518842,-2.551178,-9.550349,-407421.448440
1881231.971713,-2.604677,-9.191206,-419620.058644
1889271.424584,-2.530388,-10.302247,-430393.998712
1897310.877454,-2.833543,-7.669216,-439706.452690
1905350.330325,-2.739842,-5.861694,-447525.598708
1913389.783195,-2.896019,-4.596170,-453824.717728
1921429.236066,-2.898114,-3.375140,-458582.284838
1929468.688936,-2.934509,0.169494,-461782.042812
1937508.141807,-2.823211,-1.474767,-463413.057661
1945547.594678,-2.963272,1.867030,-463469.755995
1953587.047548,-2.960476,3.438689,-461951.944068
1961626.500419,-2.853794,5.700157,-458864.808440
1969665.953289,-2.918310,4.851106,-454218.898257
1977705.406160,-2.897807,7.338773,-448030.089199
1985744.859030,-2.831732,9.835849,-440319.529232
1993784.311901,-2.687025,8.713711,-431113.566343
2001823.764772,-2.685494,9.845309,-420443.658507
2009863.217642,-2.485639,13.788256,-408346.266188
2017902.670513,-2.441960,11.027660,-394862.727751
2025942.123383,-2.201778,13.535030,-380039.118204
2033981.576254,-2.215782,13.832736,-363926.091749
2042021.029124,-2.102551,15.515150,-346578.708698
2050060.481995,-1.917317,13.549307,-328056.247316
2058099.934866,-2.013746,16.186210,-308422.001268
2066139.387736,-1.627384,19.031324,-287743.063327
2074178.840607,-1.547908,20.829331,-266090.096119
2082218.293477,-1.485642,19.683537,-243537.090651
2090257.746348,-1.329139,19.296579,-220161.113482
2098297.199218,-1.127417,21.853196,-196042.043368
2106336.652089,-1.047159,21.033665,-171262.298314
2114376.104960,-0.782946,20.464767,-145906.553934
2122415.557830,-0.690965,20.647187,-120061.454111
2130455.010701,-0.469355,23.413189,-93815.314915
2138494.463571,-0.278036,23.659380,-67257.822823
2146533.916442,-0.146356,23.420524,-40479.728243
2154573.369312,-0.003094,21.909430,-13572.535411
2162612.822183,0.181474,22.095308,13371.810290
2170652.275054,0.366212,23.413510,40261.236522
2178691.727924,0.600849,23.933184,67003.858615
2186731.180795,0.701964,23.487634,93508.293545
2194770.633665,0.863251,22.746157,119683.972207
2202810.086536,1.079518,22.626071,145441.448898
2210849.539406,0.997266,20.701950,170692.706967
2218888.992277,1.293921,18.721691,195351.459575
2226928.445147,1.361674,18.644326,219333.444554
2234967.898018,1.527216,18.707031,242556.712338
2243007.350889,1.739834,16.810644,264941.905997
2251046.803759,1.900233,19.723704,286412.532409
2259086.256630,1.963909,15.606135,306895.223648
2267125.709500,2.204437,17.579150,326319.987689
2275165.162371,2.153148,15.148223,344620.447585
2283204.615241,2.256343,12.017736,361734.068282
2291244.068112,2.374147,9.601622,377602.370307
2299283.520983,2.430123,14.349437,392171.129608
2307322.973853,2.495012,9.838691,405390.562835
2315362.426724,2.712425,8.767330,417215.497465
2323401.879594,2.608503,8.088681,427605.526155
2331441.332465,2.753226,6.837897,436525.144826
2339480.785335,2.979776,5.085917,443943.873977
2347520.238206,2.846378,7.062931,449836.362845
2355559.691077,2.886514,1.488411,454182.476029
2363599.143947,2.724699,1.402033,456967.362294
2371638.596818,2.876200,0.013519,458181.505321
2379678.049688,2.974503,-2.344052,457820.756224
2387717.502559,2.952503,-2.492427,455886.347732
2395756.955429,2.811135,-2.991925,452384.889968
2403796.408300,2.654078,-5.912527,447328.347871
2411835.861171,2.689037,-7.181127,440734.000304
2419875.314041,2.767283,-8.185848,432624.381010
2427914.766912,2.734962,-8.577775,423027.201615
2435954.219782,2.630898,-10.372479,411975.256931
2443993.672653,2.403983,-8.765868,399506.312891
2452033.125523,2.347234,-13.606507,385662.977503
2460072.578394,2.225301,-15.786457,370492.555245
2468112.031265,2.177724,-13.734558,354046.885426
2476151.484135,2.123973,-16.708881,336382.165041
2484190.937006,2.133195,-18.964574,317558.756740
2492230.389876,1.884345,-19.022663,297640.982561
2500269.842747,1.494111,-20.191922,276696.904132
2508309.295617,1.607459,-21.572710,254798.090097
2516348.748488,1.521684,-22.625490,232019.371554
2524388.201359,1.123311,-21.420065,208438.586352
2532427.654229,1.221164,-22.592471,184136.313104
2540467.107100,1.012914,-20.486298,159195.595844
2548506.559970,0.821506,-21.834891,133701.660249
2556546.012841,0.621464,-21.980748,107741.622418
2564585.465711,0.493969,-24.128917,81404.191180
2572624.918582,0.374618,-24.033504,54779.364969
2580664.371452,0.234115,-21.711226,27958.124282
2588703.824323,0.099368,-20.869372,1032.120791
2596743.277194,-0.280296,-22.649819,-25906.635841
2604782.730064,-0.436759,-22.878698,-52766.092378
2612822.182935,-0.399788,-20.413184,-79454.466556
2620861.635805,-0.790049,-23.115474,-105880.560727
2628901.088676,-0.757442,-22.567378,-131954.073485
2636940.541546,-0.945661,-23.230060,-157585.908241
2644979.994417,-1.178250,-19.204545,-182688.477678
2653019.447288,-1.433632,-18.687888,-207176.003048
2661058.900158,-1.656695,-20.140536,-230964.807287
2669098.353029,-1.761936,-18.885404,-253973.600953
2677137.805899,-1.873871,-18.456233,-276123.760002
2685177.258770,-1.980121,-15.645805,-297339.594456
2693216.711640,-2.124403,-14.220397,-317548.607046
2701256.164511,-2.117346,-17.296844,-336681.740943
2709295.617382,-2.228534,-15.241675,-354673.615738
2717335.070252,-2.384116,-12.404971,-371462.750852
2725374.523123,-2.466278,-14.943566,-386991.775622
2733413.975993,-2.558373,-10.946830,-401207.625351
2741453.428864,-2.558894,-9.685832,-414061.722626
2749492.881734,-2.665981,-9.401836,-425510.143325
2757532.334605,-2.772494,-8.518233,-435513.766703
2765571.787476,-2.762041,-6.043607,-444038.409076
2773611.240346,-2.750165,-4.491292,-451054.940631
2781650.693217,-2.642916,-6.307731,-456539.384965
2789690.146087,-2.941243,-0.980252,-460473.001019
2797729.598958,-2.898768,-1.883110,-462842.347114
2805769.051828,-3.075375,2.386479,-463639.326886
2813808.504699,-2.873883,3.439482,-462861.216950
2821847.957570,-2.885581,4.320942,-460510.676211
2829887.410440,-2.850934,3.760636,-456595.736772
2837926.863311,-2.695506,7.159671,-451129.776491
2845966.316181,-2.661121,6.527012,-444131.473265
2854005.769052,-2.727928,8.870327,-435624.741209
2862045.221922,-2.528334,9.638730,-425638.648934
2870084.674793,-2.559457,11.832739,-414207.320217
2878124.127664,-2.516130,11.451891,-401369.817397
2886163.580534,-2.307657,13.389693,-387170.007894
2894203.033405,-2.254140,13.917723,-371656.414305
2902242.486275,-2.199561,16.902441,-354882.048600
2910281.939146,-2.061274,16.096741,-336904.230971
2918321.392016,-1.833269,17.687666,-317784.393963
2926360.844887,-1.751322,18.396598,-297587.872548
2934400.297758,-1.590558,20.104935,-276383.680870
2942439.750628,-1.456990,19.845141,-254244.276413
2950479.203499,-1.371661,21.050859,-231245.312406
2958518.656369,-1.259065,21.238424,-207465.379304
2966558.109240,-1.185899,21.725979,-182985.736234
2974597.562110,-0.941142,19.468577,-157890.033326
2982637.014981,-0.700242,22.497719,-132264.025863
2990676.467851,-0.511755,22.665951,-106195.281252
2998715.920722,-0.544613,24.798709,-79772.879787
3006755.373593,-0.297113,22.615144,-53087.110254
3014794.826463,-0.092510,23.169382,-26229.161404
3022834.279334,0.147459,23.691211,709.189655
3030873.732204,0.315399,24.873604,27635.891069
3038913.185075,0.467463,23.621952,54458.930792
3046952.637945,0.575721,19.652174,81086.651005
3054992.090816,0.740847,21.699182,107428.061321
3063031.543687,0.998061,24.322658,133393.149709
3071070.996557,1.152104,20.442702,158893.190081
3079110.449428,1.352005,20.757613,183841.045480
3087149.902298,1.444615,20.192950,208151.465833
3095189.355169,1.512633,17.472284,231741.379269
3103228.808039,1.722972,19.317476,254530.175981
3111268.260910,1.713742,18.910126,276439.983683
3119307.713781,1.951713,18.944626,297395.933710
3127347.166651,1.969815,16.119681,317326.416850
3135386.619522,2.023531,14.350288,336163.328048
3143426.072392,2.335528,15.191942,353842.299124
3151465.525263,2.429871,10.953634,370302.918733
3159504.978133,2.599629,13.253232,385488.938793
3167544.431004,2.568413,11.789045,399348.466697
3175583.883875,2.638413,8.652414,411834.142633
3183623.336745,2.508935,8.868067,422903.301419
3191662.789616,2.687803,4.106530,432518.118299
3199702.242486,2.847227,7.731229,440645.738192
3207741.695357,2.776583,5.457087,447258.387961
3215781.148227,2.955258,2.764649,452333.471322
3223820.601098,2.854959,2.015430,455853.646054
3231860.053969,2.866150,2.627505,457806.883261
3239899.506839,2.883576,0.627353,458186.508477
3247938.959710,2.751388,-3.867230,456991.224474
3255978.412580,2.825465,-4.786041,454225.115692
3264017.865451,2.787215,-5.732537,449897.634286
3272057.318321,2.695776,-9.099736,444023.567823
3280096.771192,2.658632,-9.608883,436622.988753
3288136.224063,2.823866,-10.847995,427721.185819
3296175.676933,2.526733,-7.790113,417348.577640
3304215.129804,2.572429,-12.636496,405540.608770
3312254.582674,2.495167,-12.360109,392337.628575
3320294.035545,2.316623,-12.481377,377784.753359
3328333.488415,2.236042,-14.001112,361931.712191
3336372.941286,2.099115,-16.559839,344832.676977
3344412.394157,1.936792,-16.917415,326546.077348
3352451.847027,1.917245,-18.719330,307134.400996
3360491.299898,1.935725,-18.090162,286663.980147
3368530.752768,1.663987,-16.526797,265204.764894
3376570.205639,1.445161,-19.615037,242830.084171
3384609.658509,1.398474,-20.872139,219616.395176
3392649.111380,1.139373,-22.595244,195643.022107
3400688.564250,0.937573,-23.260096,170991.885102
3408728.017121,0.866411,-20.544991,145747.220306
3416767.469992,0.763503,-20.461987,119995.292026
3424806.922862,0.584238,-21.889493,93824.097955
3432846.375733,0.386806,-23.066787,67323.068472
3440885.828603,0.349810,-27.158292,40582.761044
3448925.281474,0.041668,-22.174518,13694.550786
3456964.734344,-0.112634,-22.355978,-13249.681788
3465004.187215,-0.181853,-23.087383,-40157.864725
3473043.640086,-0.490299,-21.831542,-66938.049260
3481083.092956,-0.672470,-23.400506,-93498.724016
3489122.545827,-0.834046,-21.833374,-119749.127707
3497161.998697,-1.152887,-22.122502,-145599.559286
3505201.451568,-1.175616,-21.112523,-170961.684461
3513240.904438,-1.407727,-20.783394,-195748.837548
3521280.357309,-1.343653,-19.682597,-219876.317617
3529319.810180,-1.582395,-17.514980,-243261.677926
3537359.263050,-1.580869,-19.029235,-265825.007654
3545398.715921,-2.173866,-19.052707,-287489.204965
3553438.168791,-1.913962,-14.859506,-308180.240476
3561477.621662,-2.080960,-16.842341,-327827.410222
3569517.074532,-2.162566,-13.865078,-346363.577268
3577556.527403,-2.520725,-16.331806,-363725.401115
3585595.980274,-2.499664,-11.738963,-379853.554152
3593635.433144,-2.572730,-10.526447,-394692.924378
3601674.886015,-2.493461,-11.107589,-408192.803734
3609714.338885,-2.755315,-9.521758,-420307.061373
3617753.791756,-2.684774,-9.644891,-430994.301299
3625793.244626,-2.879854,-8.232815,-440218.003823
3633832.697497,-2.768384,-6.242437,-447946.650350
3641872.150368,-2.957645,-4.494801,-454153.831090
3649911.603238,-2.904055,-1.569541,-458818.335297
3657951.056109,-2.956886,-3.156967,-461924.223754
3665990.508979,-2.904412,-2.710890,-463460.883234
3674029.961850,-2.918690,0.126921,-463423.062773
3682069.414720,-2.873239,2.149255,-461810.891608
3690108.867591,-2.863741,4.232847,-458629.878737
3698148.320462,-2.652010,4.100504,-453890.894096
3706187.773332,-2.730879,7.732409,-447610.131413
3714227.226203,-2.842441,7.202402,-439809.052871
3722266.679073,-2.724631,10.019622,-430514.315771
3730306.131944,-2.584995,11.873775,-419757.681442
3738345.584814,-2.585699,11.961886,-407575.906703
3746385.037685,-2.353347,14.237979,-394010.618265
3754424.490556,-2.387566,15.265867,-379108.170485
3762463.943426,-2.261498,15.522257,-362919.486968
3770503.396297,-2.045025,16.626439,-345499.886553
3778542.849167,-1.998701,17.897359,-326908.894284
3786582.302038,-1.728019,19.236217,-307210.038002
3794621.754908,-1.734145,19.553927,-286470.631265
3802661.207779,-1.596594,19.606410,-264761.543327
3810700.660649,-1.416967,18.839005,-242156.956967
3818740.113520,-1.348538,20.356164,-218734.115001
3826779.566391,-1.215149,22.661853,-194573.056331
3834819.019261,-0.993885,22.327251,-169756.342441
3842858.472132,-0.907544,23.209976,-144368.775272
3850897.925002,-0.759415,22.283710,-118497.107450
3858937.377873,-0.616102,23.017949,-92229.745832
3866976.830743,-0.339343,24.287730,-65656.449412
3875016.283614,-0.123314,23.190779,-38868.022607
3883055.736485,0.099200,23.445404,-11956.004958
3891095.189355,0.241444,24.297616,14987.641665
3899134.642226,0.378791,23.824106,41870.847313
3907174.095096,0.484907,21.781981,68601.748572
3915213.547967,0.569358,22.613816,95089.002470
3923253.000837,0.716263,22.209642,121242.098612
3931292.453708,1.137368,23.483386,146971.668462
3939331.906579,1.357077,22.650303,172189.790730
3947371.359449,1.167050,21.778648,196810.291808
3955410.812320,1.484342,21.356842,220749.040236
3963450.265190,1.837559,17.408098,243924.234195
3971489.718061,1.855039,19.616582,266256.681029
3979529.170931,1.838939,16.920717,287670.067858
3987568.623802,1.940393,16.839274,308091.222351
3995608.076673,2.101580,15.386499,327450.362764
4003647.529543,2.360370,14.373591,345681.336393
4011686.982414,2.301079,15.419398,362721.845626
4019726.435284,2.375541,13.920852,378513.660825
4027765.888155,2.466868,13.122051,393002.819300
4035805.341025,2.644783,7.265206,406139.809711
4043844.793896,2.582414,9.353178,417879.741250
4051884.246767,2.624068,8.604841,428182.497042
4059923.699637,2.844745,5.108458,437012.871229
4067963.152508,2.770209,4.543794,444340.689272
4076002.605378,2.953553,3.694890,450140.911063
4084042.058249,2.974292,1.515497,454393.716489
4092081.511119,2.992226,1.583495,457084.573159
4100120.963990,2.856856,-0.428687,458204.286066
4108160.416861,2.837967,0.094065,457749.029006
4116199.869731,2.921293,-2.764782,455720.357650
4124239.322602,2.810424,-4.793219,452125.204234
4132278.775472,2.848287,-5.880486,446975.853864
4140318.228343,2.814223,-6.304642,440289.902541
4148357.681213,2.733492,-5.759749,432090.197032
4156397.134084,2.830255,-9.255986,422404.756798
4164436.586954,2.574759,-8.907688,411266.678249
4172476.039825,2.547853,-12.181362,398714.021652
4180515.492696,2.318404,-13.584323,384789.681067
4188554.945566,2.303124,-16.044697,369541.237781
4196594.398437,1.988357,-13.257903,353020.797709
4204633.851307,2.114927,-17.987069,335284.813346
4212673.304178,1.936405,-15.674966,316393.890862
4220712.757048,1.808490,-19.618028,296412.582997
4228752.209919,1.704096,-20.579564,275409.168484
4236791.662790,1.292449,-19.502984,253455.418725
4244831.115660,1.162541,-21.669928,230626.352542
4252870.568531,1.251586,-19.472134,206999.979826
4260910.021401,0.985960,-21.163311,182657.034971
4268949.474272,0.898758,-22.944043,157680.700989
4276988.927142,0.683818,-22.082193,132156.325266
4285028.380013,0.549659,-21.759895,106171.127917
4293067.832884,0.512217,-24.789324,79813.903746
4301107.285754,0.364722,-23.504995,53174.718820
4309146.738625,0.111605,-22.264473,26344.602704
4317186.191495,-0.152367,-22.457889,-584.762602
4325225.644366,-0.313489,-23.788475,-27521.355950
4333265.097236,-0.340966,-24.019061,-54373.131492
4341304.550107,-0.624577,-20.685816,-81048.333215
4349344.002978,-0.644228,-22.025470,-107455.808479
4357383.455848,-0.928899,-21.820839,-133505.319505
4365422.908719,-1.167735,-20.826636,-159107.851719
4373462.361589,-1.305545,-22.897848,-184175.917935
4381501.814460,-1.285856,-18.973233,-208623.857306
4389541.267330,-1.559964,-20.355115,-232368.128040
4397580.720201,-1.666030,-18.473327,-255327.592872
4405620.173072,-1.789627,-19.266144,-277423.796319
4413659.625942,-2.014662,-16.173509,-298581.232778
4421699.078813,-2.142146,-17.262151,-318727.604533
4429738.531683,-2.143631,-15.723820,-337794.068808
4437777.984554,-2.170057,-16.742626,-355715.473011
4445817.437424,-2.296869,-12.155357,-372430.577371
4453856.890295,-2.509837,-13.175539,-387882.264198
4461896.343166,-2.640518,-11.823261,-402017.733068
4469935.796036,-2.634543,-12.383130,-414788.681242
4477975.248907,-2.730762,-9.064188,-426151.468727
4486014.701777,-2.762229,-7.780112,-436067.267398
4494054.154648,-2.860136,-4.663565,-444502.193680
4502093.607518,-2.812924,-4.244268,-451427.424332
4510133.060389,-2.837920,-3.566762,-456819.294938
4518172.513260,-2.979520,-2.598325,-460659.380774
4526211.966130,-2.835976,-1.313476,-462934.559768
4534251.419001,-2.990888,1.081763,-463637.057336
4542290.871871,-3.067083,1.986956,-462764.472952
4550330.324742,-2.917574,1.030982,-460319.788352
4558369.777612,-2.842449,6.106310,-456311.357339
4566409.230483,-2.938510,5.986919,-450752.877247
4574448.683353,-2.721931,7.552234,-443663.342124
4582488.136224,-2.714249,6.104025,-435066.977835
4590527.589095,-2.551568,11.202298,-424993.159277
4598567.041965,-2.607429,12.224129,-413476.310000
