Time,RA(mas),Dec(mas),RadialVelocity
1800837.443007,-3.154033,-40.264916,-241880.954378
1808876.895878,-3.103481,-40.565432,-264495.809495
1816916.348748,-3.200367,-40.071954,-286216.074238
1824955.801619,-3.270027,-39.060758,-306967.527634
1832995.254490,-3.573707,-36.448835,-326679.259263
1841034.707360,-3.748823,-35.363462,-345283.911573
1849074.160231,-3.839390,-35.254465,-362717.910043
1857113.613101,-3.913571,-36.527829,-378921.680431
1865153.065972,-4.033367,-33.612815,-393839.852342
1873192.518842,-4.003348,-31.017451,-407421.448440
1881231.971713,-4.063080,-30.750441,-419620.058644
1889271.424584,-3.995023,-31.953616,-430393.998712
1897310.877454,-4.304410,-29.412718,-439706.452690
1905350.330325,-4.216942,-27.697330,-447525.598708
1913389.783195,-4.379351,-26.523939,-453824.717728
1921429.236066,-4.387679,-25.395043,-458582.284838
1929468.688936,-4.430306,-21.942542,-461782.042812
1937508.141807,-4.325241,-23.678936,-463413.057661
1945547.594678,-4.471534,-20.429273,-463469.755995
1953587.047548,-4.474971,-18.949747,-461951.944068
1961626.500419,-4.374521,-16.780413,-458864.808440
1969665.953289,-4.445270,-17.721597,-454218.898257
1977705.406160,-4.430999,-15.326064,-448030.089199
1985744.859030,-4.371157,-12.921121,-440319.529232
1993784.311901,-4.232682,-14.135393,-431113.566343
2001823.764772,-4.237384,-13.095928,-420443.658507
2009863.217642,-4.043761,-9.245115,-408346.266188
2017902.670513,-4.006315,-12.097844,-394862.727751
2025942.123383,-3.772365,-9.682608,-380039.118204
2033981.576254,-3.792602,-9.477035,-363926.091749
2042021.029124,-3.685603,-7.886755,-346578.708698
2050060.481995,-3.506602,-9.944731,-328056.247316
2058099.934866,-3.609263,-7.399962,-308422.001268
2066139.387736,-3.229134,-4.646981,-287743.063327
2074178.840607,-3.155890,-2.941108,-266090.096119
2082218.293477,-3.099857,-4.179035,-243537.090651
2090257.746348,-2.949586,-4.658127,-220161.113482
2098297.199218,-2.754097,-2.193643,-196042.043368
2106336.652089,-2.680071,-3.105308,-171262.298314
2114376.104960,-2.422091,-3.766339,-145906.553934
2122415.557830,-2.336342,-3.676053,-120061.454111
2130455.010701,-2.120965,-1.002184,-93815.314915
2138494.463571,-1.935878,-0.848127,-67257.822823
2146533.916442,-1.810431,-1.179116,-40479.728243
2154573.369312,-1.673401,-2.782344,-13572.535411
2162612.822183,-1.495066,-2.688599,13371.810290
2170652.275054,-1.316560,-1.462530,40261.236522
2178691.727924,-1.088156,-1.034990,67003.858615
2186731.180795,-0.993273,-1.572673,93508.293545
2194770.633665,-0.838219,-2.406284,119683.972207
2202810.086536,-0.628184,-2.618503,145441.448898
2210849.539406,-0.716669,-4.634758,170692.706967
2218888.992277,-0.426246,-6.707150,195351.459575
2226928.445147,-0.364726,-6.876649,219333.444554
2234967.898018,-0.205416,-6.906077,242556.712338
2243007.350889,0.000969,-8.894598,264941.905997
2251046.803759,0.155136,-6.073671,286412.532409
2259086.256630,0.212579,-10.283374,306895.223648
2267125.709500,0.446875,-8.402492,326319.987689
2275165.162371,0.389354,-10.925553,344620.447585
2283204.615241,0.486316,-14.148173,361734.068282
2291244.068112,0.597888,-16.656421,377602.370307
2299283.520983,0.647631,-12.000739,392171.129608
2307322.973853,0.706288,-16.603619,405390.562835
2315362.426724,0.917468,-17.767113,417215.497465
2323401.879594,0.807314,-18.537896,427605.526155
2331441.332465,0.945804,-19.880813,436525.144826
2339480.785335,1.166122,-21.724927,443943.873977
2347520.238206,1.026491,-19.840046,449836.362845
2355559.691077,1.060395,-25.506700,454182.476029
2363599.143947,0.892347,-25.685211,456967.362294
2371638.596818,1.037616,-27.165859,458181.505321
2379678.049688,1.129686,-29.615563,457820.756224
2387717.502559,1.101454,-29.856072,455886.347732
2395756.955429,0.953853,-30.447703,452384.889968
2403796.408300,0.790564,-33.460439,447328.347871
2411835.861171,0.819290,-34.821172,440734.000304
2419875.314041,0.891304,-35.918026,432624.381010
2427914.766912,0.852750,-36.402087,423027.201615
2435954.219782,0.742454,-38.288924,411975.256931
2443993.672653,0.509306,-36.774447,399506.312891
2452033.125523,0.446325,-41.707219,385662.977503
2460072.578394,0.318159,-43.979303,370492.555245
2468112.031265,0.264350,-42.019537,354046.885426
2476151.484135,0.204366,-45.085994,336382.165041
2484190.937006,0.207356,-47.433820,317558.756740
2492230.389876,-0.047727,-47.584043,297640.982561
2500269.842747,-0.444193,-48.845435,276696.904132
2508309.295617,-0.337078,-50.318357,254798.090097
2516348.748488,-0.429085,-51.463270,232019.371554
2524388.201359,-0.833691,-50.349979,208438.586352
2532427.654229,-0.742070,-51.614518,184136.313104
2540467.107100,-0.956553,-49.600479,159195.595844
2548506.559970,-1.154193,-51.041205,133701.660249
2556546.012841,-1.360468,-51.279196,107741.622418
2564585.465711,-1.494195,-53.519498,81404.191180
2572624.918582,-1.619779,-53.516219,54779.364969
2580664.371452,-1.766514,-51.286074,27958.124282
2588703.824323,-1.907494,-50.536354,1032.120791
2596743.277194,-2.293390,-52.408934,-25906.635841
2604782.730064,-2.456086,-52.729947,-52766.092378
2612822.182935,-2.425347,-50.356566,-79454.466556
2620861.635805,-2.821841,-53.150990,-105880.560727
2628901.088676,-2.795466,-52.695027,-131954.073485
2636940.541546,-2.989918,-53.449843,-157585.908241
2644979.994417,-3.228739,-49.516461,-182688.477678
2653019.447288,-3.490353,-49.091937,-207176.003048
2661058.900158,-3.719649,-50.636719,-230964.807287
2669098.353029,-3.831122,-49.473720,-253973.600953
2677137.805899,-3.949290,-49.136683,-276123.760002
2685177.258770,-4.061772,-46.418388,-297339.594456
2693216.711640,-4.212287,-45.085114,-317548.607046
2701256.164511,-4.211462,-48.253694,-336681.740943
2709295.617382,-4.328883,-46.290659,-354673.615738
2717335.070252,-4.490697,-43.546088,-371462.750852
2725374.523123,-4.579092,-46.176817,-386991.775622
2733413.975993,-4.677419,-42.272214,-401207.625351
2741453.428864,-4.684173,-41.103350,-414061.722626
2749492.881734,-4.797492,-40.911487,-425510.143325
2757532.334605,-4.910238,-40.120018,-435513.766703
2765571.787476,-4.906017,-37.737525,-444038.409076
2773611.240346,-4.900374,-36.277344,-451054.940631
2781650.693217,-4.799357,-38.185916,-456539.384965
2789690.146087,-5.103917,-32.950571,-460473.001019
2797729.598958,-5.067674,-33.945562,-462842.347114
2805769.051828,-5.250514,-29.768107,-463639.326886
2813808.504699,-5.055254,-28.807237,-462861.216950
2821847.957570,-5.073185,-28.017911,-460510.676211
2829887.410440,-5.044770,-28.670350,-456595.736772
2837926.863311,-4.895575,-25.363449,-451129.776491
2845966.316181,-4.867422,-26.088241,-444131.473265
2854005.769052,-4.940462,-23.837060,-435624.741209
2862045.221922,-4.747100,-23.160790,-425638.648934
2870084.674793,-4.784456,-21.058915,-414207.320217
2878124.127664,-4.747361,-21.531896,-401369.817397
2886163.580534,-4.545121,-19.686227,-387170.007894
2894203.033405,-4.497836,-19.250331,-371656.414305
2902242.486275,-4.449490,-16.357746,-354882.048600
2910281.939146,-4.317435,-17.255580,-336904.230971
2918321.392016,-4.095663,-15.756788,-317784.393963
2926360.844887,-4.019948,-15.139990,-297587.872548
2934400.297758,-3.865417,-13.523786,-276383.680870
2942439.750628,-3.738081,-13.875714,-254244.276413
2950479.203499,-3.658985,-12.762129,-231245.312406
2958518.656369,-3.552621,-12.666698,-207465.379304
2966558.109240,-3.485688,-12.271276,-182985.736234
2974597.562110,-3.247163,-14.620812,-157890.033326
2982637.014981,-3.012496,-11.683803,-132264.025863
2990676.467851,-2.830241,-11.607705,-106195.281252
2998715.920722,-2.869332,-9.567080,-79772.879787
3006755.373593,-2.628064,-11.842779,-53087.110254
3014794.826463,-2.429694,-11.380674,-26229.161404
3022834.279334,-2.195957,-10.950979,709.189655
3030873.732204,-2.034249,-9.860719,27635.891069
3038913.185075,-1.888418,-11.204505,54458.930792
3046952.637945,-1.786392,-15.266416,81086.651005
3054992.090816,-1.627499,-13.311542,107428.061321
3063031.543687,-1.376517,-10.780199,133393.149709
3071070.996557,-1.228707,-14.752289,158893.190081
3079110.449428,-1.035038,-14.529511,183841.045480
3087149.902298,-0.948661,-15.186308,208151.465833
3095189.355169,-0.886875,-17.999107,231741.379269
3103228.808039,-0.682769,-16.246049,254530.175981
3111268.260910,-0.698231,-16.745532,276439.983683
3119307.713781,-0.466493,-16.803166,297395.933710
3127347.166651,-0.454623,-19.720244,317326.416850
3135386.619522,-0.407140,-21.581770,336163.328048
3143426.072392,-0.101375,-20.832250,353842.299124
3151465.525263,-0.013265,-25.162691,370302.918733
3159504.978133,0.150261,-22.955227,385488.938793
3167544.431004,0.112812,-24.511547,399348.466697
3175583.883875,0.176580,-27.740312,411834.142633
3183623.336745,0.040869,-27.616792,422903.301419
3191662.789616,0.213505,-32.470463,432518.118299
3199702.242486,0.366696,-28.937897,440645.738192
3207741.695357,0.289820,-31.304173,447258.387961
3215781.148227,0.462262,-34.088744,452333.471322
3223820.601098,0.355731,-34.930097,455853.646054
3231860.053969,0.360689,-34.410155,457806.883261
3239899.506839,0.371883,-36.502441,458186.508477
3247938.959710,0.233462,-41.089157,456991.224474
3255978.412580,0.301307,-42.100102,454225.115692
3264017.865451,0.256824,-43.138731,449897.634286
3272057.318321,0.159153,-46.598064,444023.567823
3280096.771192,0.115776,-47.199344,436622.988753
3288136.224063,0.274778,-48.530590,427721.185819
3296175.676933,-0.028588,-45.564841,417348.577640
3304215.129804,0.010876,-50.503358,405540.608770
3312254.582674,-0.072619,-50.319104,392337.628575
3320294.035545,-0.257395,-50.532506,377784.753359
3328333.488415,-0.344209,-52.144374,361931.712191
3336372.941286,-0.487368,-54.795235,344832.676977
3344412.394157,-0.655924,-55.244944,326546.077348
3352451.847027,-0.681703,-57.138993,307134.400996
3360491.299898,-0.669456,-56.601958,286663.980147
3368530.752768,-0.947426,-55.130726,265204.764894
3376570.205639,-1.172485,-58.311100,242830.084171
3384609.658509,-1.225404,-59.660335,219616.395176
3392649.111380,-1.490738,-61.475574,195643.022107
3400688.564250,-1.698770,-62.232559,170991.885102
3408728.017121,-1.776164,-59.609588,145747.220306
3416767.469992,-1.885305,-59.618717,119995.292026
3424806.922862,-2.070802,-61.138357,93824.097955
3432846.375733,-2.274467,-62.407784,67323.068472
3440885.828603,-2.317695,-66.591423,40582.761044
3448925.281474,-2.632070,-61.699782,13694.550786
3456964.734344,-2.792604,-61.973376,-13249.681788
3465004.187215,-2.868056,-62.796914,-40157.864725
3473043.640086,-3.182734,-61.633207,-66938.049260
3481083.092956,-3.371138,-63.294304,-93498.724016
3489122.545827,-3.538946,-61.819306,-119749.127707
3497161.998697,-3.864020,-62.200567,-145599.559286
3505201.451568,-3.892981,-61.282722,-170961.684461
3513240.904438,-4.131325,-61.045726,-195748.837548
3521280.357309,-4.073483,-60.037063,-219876.317617
3529319.810180,-4.318458,-57.961579,-243261.677926
3537359.263050,-4.323164,-59.567968,-265825.007654
3545398.715921,-4.922394,-59.683573,-287489.204965
3553438.168791,-4.668722,-55.582506,-308180.240476
3561477.621662,-4.841953,-57.657474,-327827.410222
3569517.074532,-4.929791,-54.772345,-346363.577268
3577556.527403,-5.294183,-57.331206,-363725.401115
3585595.980274,-5.279354,-52.830497,-379853.554152
3593635.433144,-5.358653,-51.710114,-394692.924378
3601674.886015,-5.285616,-52.383390,-408192.803734
3609714.338885,-5.553703,-50.889692,-420307.061373
3617753.791756,-5.489394,-51.104958,-430994.301299
3625793.244626,-5.690707,-49.785016,-440218.003823
3633832.697497,-5.585469,-47.886771,-447946.650350
3641872.150368,-5.780963,-46.231269,-454153.831090
3649911.603238,-5.733605,-43.398142,-458818.335297
3657951.056109,-5.792669,-45.077702,-461924.223754
3665990.508979,-5.746427,-44.723758,-463460.883234
3674029.961850,-5.766938,-41.978081,-463423.062773
3682069.414720,-5.727719,-40.047880,-461810.891608
3690108.867591,-5.724454,-38.056422,-458629.878737
3698148.320462,-5.518955,-38.280898,-453890.894096
3706187.773332,-5.604057,-34.741127,-447610.131413
3714227.226203,-5.721851,-35.363267,-439809.052871
3722266.679073,-5.610274,-32.638181,-430514.315771
3730306.131944,-5.476870,-30.876161,-419757.681442
3738345.584814,-5.483807,-30.880184,-407575.906703
3746385.037685,-5.257687,-28.696224,-394010.618265
3754424.490556,-5.298139,-27.760470,-379108.170485
3762463.943426,-5.178303,-27.596213,-362919.486968
3770503.396297,-4.968063,-26.584165,-345499.886553
3778542.849167,-4.927971,-25.405378,-326908.894284
3786582.302038,-4.663521,-24.158654,-307210.038002
3794621.754908,-4.675880,-23.933077,-286470.631265
3802661.207779,-4.544561,-23.972728,-264761.543327
3810700.660649,-4.371167,-24.832266,-242156.956967
3818740.113520,-4.308970,-23.407241,-218734.115001
3826779.566391,-4.181814,-21.193685,-194573.056331
3834819.019261,-3.966782,-21.620421,-169756.342441
3842858.472132,-3.886674,-20.829829,-144368.775272
3850897.925002,-3.744777,-21.848228,-118497.107450
3858937.377873,-3.607697,-21.206123,-92229.745832
3866976.830743,-3.337170,-20.028475,-65656.449412
3875016.283614,-3.127374,-21.217560,-38868.022607
3883055.736485,-2.911092,-21.055068,-11956.004958
3891095.189355,-2.775081,-20.294990,14987.641665
3899134.642226,-2.643966,-20.860633,41870.847313
3907174.095096,-2.544083,-22.994892,68601.748572
3915213.547967,-2.465864,-22.255190,95089.002470
3923253.000837,-2.325192,-22.751498,121242.098612
3931292.453708,-1.910319,-21.569887,146971.668462
3939331.906579,-1.696843,-22.495104,172189.790730
3947371.359449,-1.893102,-23.458892,196810.291808
3955410.812320,-1.582043,-23.972832,220749.040236
3963450.265190,-1.235058,-28.013709,243924.234195
3971489.718061,-1.223811,-25.897359,266256.681029
3979529.170931,-1.246143,-28.685357,287670.067858
3987568.623802,-1.150922,-28.858934,308091.222351
3995608.076673,-0.995967,-30.403842,327450.362764
4003647.529543,-0.743410,-31.508884,345681.336393
4011686.982414,-0.808933,-30.555210,362721.845626
4019726.435284,-0.740704,-32.145890,378513.660825
4027765.888155,-0.655609,-33.036824,393002.819300
4035805.341025,-0.483927,-38.985803,406139.809711
4043844.793896,-0.552528,-36.989964,417879.741250
4051884.246767,-0.517107,-37.830435,428182.497042
4059923.699637,-0.302662,-41.418951,437012.871229
4067963.152508,-0.383431,-42.075749,444340.689272
4076002.605378,-0.206319,-43.016786,450140.911063
4084042.058249,-0.191813,-45.288313,454393.716489
4092081.511119,-0.180111,-45.312448,457084.573159
4100120.963990,-0.321714,-47.416763,458204.286066
4108160.416861,-0.346835,-46.986145,457749.029006
4116199.869731,-0.269742,-49.937125,455720.357650
4124239.322602,-0.386843,-52.057696,452125.204234
4132278.775472,-0.355213,-53.237096,446975.853864
4140318.228343,-0.395509,-53.753386,440289.902541
4148357.681213,-0.482473,-53.300626,432090.197032
4156397.134084,-0.391942,-56.888997,422404.756798
4164436.586954,-0.653670,-56.632832,411266.678249
4172476.039825,-0.686809,-59.998640,398714.021652
4180515.492696,-0.922490,-61.493734,384789.681067
4188554.945566,-0.944003,-64.046242,369541.237781
4196594.398437,-1.265002,-61.351581,353020.797709
4204633.851307,-1.144665,-66.172881,335284.813346
4212673.304178,-1.329419,-63.952911,316393.890862
4220712.757048,-1.463567,-67.988107,296412.582997
4228752.209919,-1.574193,-69.041776,275409.168484
4236791.662790,-1.992073,-68.057330,253455.418725
4244831.115660,-2.128213,-70.316407,230626.352542
4252870.568531,-2.045401,-68.210747,206999.979826
4260910.021401,-2.317259,-69.994057,182657.034971
4268949.474272,-2.410694,-71.866923,157680.700989
4276988.927142,-2.631866,-71.097206,132156.325266
4285028.380013,-2.772258,-70.867042,106171.127917
4293067.832884,-2.815932,-73.988604,79813.903746
4301107.285754,-2.969660,-72.796409,53174.718820
4309146.738625,-3.229009,-71.648020,26344.602704
4317186.191495,-3.499214,-71.933570,-584.762602
4325225.644366,-3.666568,-73.356289,-27521.355950
4333265.097236,-3.700278,-73.679008,-54373.131492
4341304.550107,-3.990121,-70.437897,-81048.333215
4349344.002978,-4.016005,-71.869684,-107455.808479
4357383.455848,-4.306908,-71.757187,-133505.319505
4365422.908719,-4.551977,-70.855117,-159107.851719
4373462.361589,-4.696019,-73.018463,-184175.917935
4381501.814460,-4.682563,-69.185981,-208623.857306
4389541.267330,-4.962903,-70.659997,-232368.128040
4397580.720201,-5.075202,-68.870342,-255327.592872
4405620.173072,-5.205031,-69.755293,-277423.796319
4413659.625942,-5.436299,-66.754791,-298581.232778
4421699.078813,-5.570015,-67.935567,-318727.604533
4429738.531683,-5.577733,-66.489369,-337794.068808
4437777.984554,-5.610391,-67.600309,-355715.473011
4445817.437424,-5.743436,-63.105173,-372430.577371
4453856.890295,-5.962636,-64.217489,-387882.264198
4461896.343166,-6.099550,-62.957344,-402017.733068
4469935.796036,-6.099807,-63.609347,-414788.681242
4477975.248907,-6.202259,-60.382538,-426151.468727
4486014.701777,-6.239958,-59.190596,-436067.267398
4494054.154648,-6.344098,-56.166182,-444502.193680
